tittle,text,domain,topic
"Tu?ng ? tr?ng gà mang v? ?p thành con, thanh niên ngay l?p t?c chuy?n nhà ch? sau 2 tu?n"," Ch? sau 2 tu?n, ? tr?ng l? n? khi?n ch? nhà tái xanh m?t khi bi?t “danh tính” c?a con v?t.
 M?t l?n phiêu luu ? ngo?i ô, ngu?i dàn ông b?t ng? b?t g?p ? tr?ng l?. Quá tò mò và háo h?c, ông quy?t d?nh mang v? d? theo dõi xem chuy?n gì s? x?y ra.
 Sau vài tu?n, ? tr?ng b?t d?u n?. Ngu?i dàn ông th?ng th?t không tin n?i vào m?t mình khi ch?ng ki?n c?nh tu?ng hãi hùng tru?c m?t.",tinvn.info,Ð?i s?ng 
Cô gái “t? su?ng” 101 l?n liên ti?p trong su?t 12 gi? li?n và cái k?t gây s?c," Tin v?a nh?n du?c t? b?nh vi?n. M?t cô gái tên H s?ng t?i qu?n Bình Th?nh TPHCM du?c dua di c?p c?u sáng ngày 29/10 dã t? vong vì co th? ki?t s?c. Bác si b?nh vi?n cho hay cô gái dã ki?t s?c d?n m?c không th? n?i nên dã t? vong.
 Nguyên nhân du?c xác d?nh là cô gái dã có hành d?ng t? su?ng liên t?c cu?ng d? cao t? 5h t?i d?n 5h sáng hôm sau. Bác si u?c doán r?ng cô dã th?c hi?n 101 l?n t? su?ng liên t?c và lên d?nh t?i 51 l?n. R?t nhi?u tranh ?nh mát m? và phim ngu?i l?n cung dã du?c tìm th?y t?i khu nhà ? c?a cô.
 T? su?ng liên t?c 101 l?n trong 12 gi? li?n là nguyên nhân khi?n cô gái t? vong
",tinvn.info,Ð?i s?ng 
"C?p dôi ch?p 1000 ki?u ?nh ch? m?t tu th? trong 3 nam, ai cung s?c khi bi?t s? th?t"," Ðôi khi, tình yêu có th? du?c nhìn th?y t? nh?ng di?u bình d?, d? thuong nhu th? này.
 Th? gi?i có 7 t? ngu?i d?ng nghia v?i vi?c có hàng t? c?p dôi. Do dó, tình yêu cung du?c th? hi?n theo muôn vàn cách khác nhau, ch?ng ai gi?ng ai. Và c?p dôi ngu?i Hàn Qu?c du?i dây dã ch?n cách d?c bi?t nh?t d? khi?n tình yêu c?a riêng h? du?c nhi?u ngu?i ca ng?i, ngu?ng m?.",tinvn.info,Ð?i s?ng 
"Vác b?a hòn dá v? kê b?p, ngu?i dàn ông s?c n?ng khi du?c tr? 400 tri?u ch? vì bí m?t này bên trong"," Th?t không th? tin du?c ch? vì bí m?t này mà hòn dá tu?ng ch?ng nhu ch? có gì l?i du?c tr? 400 tri?u.
 Câu chuy?n vô cùng l? này di?n ra ? m?t ngôi làng có tên là Xiangjiaba. Ðây là m?t ngôi làng nh? n?m ven sông Duong T? xinh d?p. Theo d?c b? sông Duong T? có r?t nhi?u lo?i dá v?i các kích c? và màu s?c l? khác nhau.",tinvn.info,Ð?i s?ng 
"V?a th?y “quái kh?ng” den xì lòi ra t? khúc cây, thanh niên v?t v?i g? quý ch?y m?t dép ch? sau 1 giây"," Không bi?t d?y là quái v?t gì mà l?i khi?n ngu?i dàn ông khi?p s? d?n nhu v?y?
 Câu chuy?n d?c bi?t này x?y ra khi m?t ngu?i dàn ông dang ch?t cây l?y c?i sau vu?n nhà, vô tình ông trông th?y thân cây b? b?c den k? l?. Quá tò mò, ông cúi ngu?i ch?m v?t den xem nguyên nhân là gì, nhung chua du?c 3 giây, ông dã la hét th?t thanh r?i b? ch?y kêu c?u khi th?y quái v?t den ngòm quái d? chui ra t? phía trong.",tinvn.info,Ð?i s?ng 
"Phát ho?ng vì ti?ng rít dinh tai m?i dêm, ch?y ra kêu c?u m?i kinh hoàng th?y c?nh tu?ng d?m máu ch?ng dang làm sau vu?n"," M?t ng? vì ti?ng rít dinh tai k? l? h?ng dêm, bà v? tá h?a khi th?y c?nh tu?ng kinh d? này sau vu?n.
 G?n dây trên m?ng xã h?i xôn xao bàn tán câu chuy?n du?c m?t ngu?i ph? n? dang t?i. Theo l?i k?, dêm nào cô cung m?t ng? vì nghe th?y ti?ng rít dinh tai, quy?t tâm di tìm nguyên nhân, cô bàng hoàng khi?p s? khi th?y c?nh tu?ng d?m máu ch?ng dang làm sau vu?n.",tinvn.info,Ð?i s?ng 
"Tu?ng c? tram con r?n bò vào nhà tr? thù, chàng trai kinh hãi t?t d? khi th?y c?nh tu?ng ch?t chóc ám ?nh sau dó","
 Nhìn nh?ng xác ch?t ng?a c? lên tr?i mà thanh niên ch? mu?n nôn ?e váng d?u vì quá s? hãi.
 Trong m?t l?n d?n choi nhà b?n, m?t chàng trai ngu?i Thái Lan dã suýt b? ch?y m?t dép khi th?y hàng tram con r?n n?m la li?t trên sàn nhà.
 Ban d?u, chàng trai tu?ng r?ng gia dình b?n mình dã “d?c t?i” gì dó v?i loài r?n nên b? chúng kéo d?n tr? thù…
 Bi?t du?c n?i s? hãi và ban khoan c?a chàng thanh niên, b?n c?a anh dã nhanh chóng gi?i thích r?ng gia dình mình m?i tr? thành lò chuyên l?t da r?n.
",tinvn.info,Ð?i s?ng 
"D? em gái cosplay m?i quen g?i ?nh trong b?n t?m, chàng trai s?c t?n não khi nàng trút b? xiêm y"," Lúc cosplay thì rõ xinh x?n v?y mà lúc sau nàng l?i bi?n thành m?t ngu?i hoàn toàn khác khi?n thanh niên ch? còn bi?t câm nín khô l?i.
 Mê m?n thi?u n? cosplay d? thuong, anh chàng xin s? làm quen…",tinvn.info,Ð?i s?ng 
"Th?i bu?i gi? xinh quá cung là cái t?i, nhu cô gái này ch?ng h?n!","
 Nét m?t xinh x?n siêu d? thuong c?a cô gái trong lo?t hình 4 bi?u c?m dã khi?n các nam nhân m?ng xã h?i s?t s?ng không yên, và dây chính là thông tin c?a cô ?y!
 Xinh nên b? d? ý, câu nói ?y không ch? dúng ? m?i lúc m?i noi m?i hoàn c?nh mà dúng v?i b?t c? cô gái xinh d?p nào. Ðôi khi ch? m?t b?c hình xinh d?p trên m?ng xã h?i, nhân v?t trai xinh gái d?p dó dã khi?n cu dân m?ng d?y sóng. Nhu cô gái có khuôn mi?ng bi?t cu?i này là m?t ví d?.
 B?c ?nh c?a thi?u n? xinh d?p khi?n dân tình phát s?t
",tinvn.info,Ð?i s?ng 
"V? ch?t 3 ngày v? báo m?ng, ch?ng d? tr?n nhà xu?ng d? r?i s?c ng?t khi th?y th? dó"," Ngay t? cái l?n d?u tiên H?o v? ra m?t nhà ngu?i yêu cô dã không du?c m? c?a Hùng d?ng ý vì chê cô là gái t?nh d?, nhà l?i nghèo không môn dang h? d?i v?i gia dình nhà bà. Bà tìm m?i cách c?n phá tình yêu c?a 2 ngu?i tuy nhiên Hùng thì không bao gi? ch?u m?t H?o.",tinvn.info,Ð?i s?ng 
Ðêm nào m? cung báo m?ng cho con trai và cái k?t," Cô nói di, lúc tru?c cô làm gì có l?i v?i m? tôi mà dêm nào m? tôi cung v? b?o tôi gi?t cô h?. Cô khai mau không tôi gi?t cô th?t d?y.
 Ð?ng… d?ng anh… d? em nói.
",tinvn.info,Ð?i s?ng 
"Cu?i v? cho con trai, b? m? d?t 200 mâm c? nhung không ai t?i, thông gia bi?t du?c s? th?t thì dòi h?y hôn ngay l?p t?c","
 Ngày cu?i dáng ra ph?i là ngày vui nh?t trong d?i ngu?i, nhung v?i Ð?c l?i là ngày kinh kh?ng nh?t cu?c d?i anh.
 5 nam tru?c, lúc còn là sinh viên d?i h?c, Ð?c tán t?nh 1 cô gái con nhà khá gi? ? dây. Vì trông b? ngoài Ð?c cung d?p trai, thu sinh, l?i d?o mi?ng nên m?i 2 tu?n Vân dã d? cái r?p. R?t nhanh sau dó h? thuê cùng 1 phòng tr? và ? v?i nhau nhu v? ch?ng.
 Th?t ra v?i Vân thì dó là tình yêu, cô yêu Ð?c say d?m, lúc nào cung qu?n l?y anh không r?i. Ð?c mu?n gì là Vân không ng?n ng?i dáp ?ng li?n. Nhung cô không h? hay bi?t v?i Ð?c thì dó ch? là th? tình c?m h?i h?t, nói tr?ng ra ch? là v? l?i.
 ",tinvn.info,Ð?i s?ng 
Ch?p nh?n d? v? cho con nh? b?n thân và cái k?t s?c," T?i dang ng?i nh?u v?i m?y th?ng b?n thì con Lê (b?n thân c?a T?n) g?i di?n léo nhéo su?t. B?c mình T?n b?t máy cau có.
 – G?i gì mà l?m tao th? dang di choi r?i.",tinvn.info,Ð?i s?ng 
Ch?ng “chôn” chu?i xanh và tr?ng xu?ng du?i d?t c?nh tu?ng d?ng sau khi?n v? kinh hãi," L?y làm kì l? khi th?y ch?ng chôn chu?i xanh và tr?ng xu?ng du?i d?t, nhung c?nh tu?ng d?ng sau khi?n t?t c? ch?t d?ng.
 G?n dây, trên m?t vài trang m?ng xã h?i dang bàn tán xôn xao v? m?t câu chuy?n khá kì l?. Theo nh?ng thông tin du?c chia s?, ngu?i v? s?ng ngu?i khi th?y ch?ng mang chu?i xanh và tr?ng ra chôn xu?ng d?t. Bà quá b?t ng? và khó hi?u không bi?t ch?ng mình d?nh làm gì.",tinvn.info,Ð?i s?ng 
B?n gái Ð?t C? nh?n muôn nghìn g?ch dá khi bình lu?n c?c s?c th? này ? b?c ?nh h? b?o c?a Ngân 98,"Nh?ng b?c ?nh h? hang nóng b?ng c?a Ngân 98 chính là s? thu hút r?t l?n t? c?ng d?ng m?ng, d?c bi?t là nh?ng nam thanh niên dùng facebook…
 Facebook là m?ng xã h?i k?t n?i hàng tri?u ngu?i trên trái d?t này v?i nhau, th? nên không có chuy?n gì là ng?c nhiên khi th?y m?t ngu?i ? mi?n nam, m?t ngu?i mi?n b?c l?i có th? trò chuy?n, bình lu?n ?nh c?a nhau dù chua l?n nào g?p m?t. Nhung d?i v?i Ngân 98 và b?n gái cu c?a Ð?t C?, thì ch?c ch?n hai ngu?i này v?n khi?n không ít c?ng d?ng m?ng ng?c nhiên, h?ng thú.
",tinvn.info,Ð?i s?ng 
"Sau th?i gian dài ch?a b?nh, d?i gia x?u nh?t th? gi?i Tr?n Son gây s?c n?ng v?i hình ?nh b?nh bao khó tin"," Sau m?t th?i gian v?ng bóng, hình ?nh c?a d?i gia x?u xí nh?t th? gi?i khi?n nhi?u ngu?i tròn m?t.
 N?u là ngu?i thu?ng xuyên c?p nh?t thông tin trên các trang m?ng xã h?i thì ch?c ch?n b?n v?n còn ?n tu?ng v?i d?i gia x?u xí nh?t th? gi?i. Ðó chính là d?i gia có tên Tr?n Son, sinh s?ng t?i Trung Qu?c.",tinvn.info,Ð?i s?ng 
Hot girl có vòng 1 t? nhiên kh?ng nh?t châu Á phát ngôn gây s?c v? lý do không bao gi? m?c h?," Lo?t ?nh m?i nh?t v? cô gái có vòng 1 kh?ng nh?t Châu Á khi?n c?ng d?ng m?ng c? châu l?c m?t tròn m?t d?t, không tin vào s? th?t.
 Yu Han là cô gái dang gây ra con s?t trên kh?p châu Á vì vòng 1 t? nhiên kh?ng b?c nh?t châu l?c, cô nàng sinh nam 1995 này hi?n dang sinh s?ng và làm vi?c t?i Seoul
 Ch? t? m?t b?c hình Yu Han ch?p t?i tàu di?n ng?m khi?n cô nàng n?i nhu c?n trên m?ng xã h?i Hàn Qu?c và lan sang các qu?c gia khác
 Yu Han t? nh?n mình là cô gái có vòng 1 t? nhiên kh?ng nh?t châu Á và thu?ng xuyên tung b?ng ch?ng hình ?nh c?a mình lên m?ng xã h?i
",tinvn.info,Ð?i s?ng 
"M?c d? không khác gì v?i màn lên bar dú d?n, Mon 2k nh?n cái k?t quá d?ng khi phát ngôn câu này"," H?t tung nh?ng b? ?nh bikini se.xy, hotgirl ng?c kh?ng Mon2k l?i có nh?ng phát ngôn v? v?n d? “nh?y c?m” khi?n dân m?ng choáng váng không th?t nên l?i.
 Là m?t trong nh?ng hotgirl n?i lên nh? th? phi nên không ít l?n Mon2k b? cu dân m?ng “ném dá” vì l?i an m?c h? hang cùng nh?ng phát ngôn gây s?c. Mon2k chính là m?t trong hai cô nàng t?ng gây bão c?ng d?ng m?ng m?t th?i gian tru?c dây khi tung clip mi?t th? ngu?i ng?c ph?ng",tinvn.info,Ð?i s?ng 
Quán tr?ng v?t l?n 1 dêm bán 1.000 qu?: Khách d?n mua s?c n?ng khi bi?t bên trong n?i có…," Ðây du?c xem là quán tr?ng v?t l?n “d?t khách” nh?t Sài Gòn khi bán du?c kho?ng 1.000 qu? tr?ng m?i dêm, cùng v?i vi?c kinh doanh nu?c mía, bia, d?u ph?ng… nên s? ti?n quán thu v? trong m?t dêm bán hàng có th? lên t?i 8 tri?u d?ng.",tinvn.info,Ð?i s?ng 
Lý do Phi Nhung ph?i u?ng thu?c tr? sâu t? t? khi?n ai cung ‘choáng’?,"
 Phi Nhung l?n d?u ti?t l? v? bí m?t ‘s?c’ r?ng, cô t?ng u?ng thu?c tr? sâu t? t? khi?n ai cung choáng vì b?t ng?.
 Trên trang fanpage chính th?c v?a qua, Phi Nhung b?t ng? dang t?i chia s? v? vi?c có con gái ru?t ? M? sau nhi?u nam gi? kín. Cô ti?t l? con gái ru?t tên Wendy, v?a d? th? khoa ? M?, chuyên ngành y tá. S?p t?i, con gái s? theo h?c ti?p Th?c si. V?i Phi Nhung, nh?ng nam qua cô dã âm th?m ch?u d?ng n?i kh? khi nuôi con m?t mình.
 Phi Nhung và con gái ru?t

",tinvn.info,Ð?i s?ng 
"D?c ?ng di?u hòa, r?ng tim vì th?y sinh v?t b?ng c? tay dài c? mét này tru?n ra"," Sinh v?t b?ng c? tay này chính là m?t loài hà d?c g? c? d?i còn sót l?i trên trái d?t.
 Ban d?u nhìn chi?c v? tr?ng tr?ng kia, ai cung nghi là ?ng di?u hòa nhung th?c ch?t nó làm b?ng g?, có hình d?ng gi?ng m?t cái ngà voi. Bên trong chi?c ngà voi dó là loài nhuy?n th? c? d?i kh?ng l? còn s?ng trên trái d?t",tinvn.info,Ð?i s?ng 
"L?y ch?ng th?c v?t, 35 tu?i v?n còn zin, 1 dêm cham ch?ng m?t quá v? ng? thi?p di, lúc t?nh d?y thì h?t ho?ng khi th?y…"," Trang dã t?ng yêu vài ngu?i, nhung l?n nào chia tay ngu?i cô cung d?y v?t thuong, c? bên ngoài l?n bên tr?ng. Ch? vì cô không ch?u cho h? cái ngàn vàng c?a mình mà h? s?n sàng chia tay. Vì th?, Trang cam thù b?n dàn ông th?u xuong.",tinvn.info,Ð?i s?ng 
"Mu?n ti?n vào nhu nu?c, nh? d?ng d? th? này trong ví","
 N?u mu?n tài v?n c?a mình không b? cái nghèo bám ri?t, hãy ki?m tra xem b?n có dang vô tình làm nhu th? này không nhé!
 “Nghèo r?t m?ng toi” n?u nhu b?n d?t v?t này trong ví
 Theo quan ni?m xua, v? m?t phong th?y ví ti?n du?c coi là v?t bi?u th? và liên quan tr?c ti?p d?n tài v?n c?a ch? nhân. V?y nên, du?ng tài l?c c?a b?n cung có th? b? ?nh hu?ng b?i v?n khí c?a chi?c ví này.
 Không d?t hóa don trong ví.
 Ð? gia tang tài l?c, b?n có th? d?t d?ng 2 USD, d? ti?n vào t?t c? các ngan, d?ng m?t ít ti?n xu… Ngoài ra b?n tuy?t d?i nh? r?ng không nên d? hóa don trong ví c?a mình b?i chúng bi?u th? cho món ti?n b?n dã hao di. Ð? chúng trong ví nhi?u kh? nang s? hút thêm n? n?n.
 ",tinvn.info,Ð?i s?ng 
"Ch? m?t l?n vui quá tr?n, thanh niên sùi d?y n?t l? trên lung d? r?i ch?t l?ng khi bi?t s? th?t d?ng ng?t"," Không s? d?ng phuong pháp b?o v? nào trong khi ng? cùng m?t cô gái l? quen trong quán bar, ngu?i dàn ông này gi?t th?t mình khi co th? b?ng nhiên ng?a diên d?i và m?c nh?ng m?n nu?c nh? li ti, ngay c? trên b? ph?n sinh d.?.c.",tinvn.info,Ð?i s?ng 
Nh?ng d?u hi?u nh?n bi?t nhà b?n dang có ma và cách tr? ma qu? trong nhà," D?u hi?u nh?n bi?t nhà có maCác khung gi? 18 gi? chi?u, 24 gi? dêm (0 gi? sáng) và 3 gi? sáng (qu? môn quan) chính là 3 khung gi? mà vong h?n thu?ng xuyên ho?t d?ng m?nh m? nh?t. Khi ?y, thu?ng b?u không khí s? tr? nên l?nh l?o và ghê r?n vô cùng.",tinvn.info,Ð?i s?ng 
"Tu?ng nh?t du?c tr?ng kh?ng long gi?a vu?n, mang vào nhà s? hãi t?t d? khi th?y n? trên tay là…","
 Ðang dào d?t tr?ng cây vô tình ch?m ph?i “qu? tr?ng” kì l?, nhung ngu?i ph? n? dã s? hãi t?t d? khi nhìn th?y…
 Th? gi?i t? nhiên vô cùng r?ng l?n và da d?ng. Nhi?u khi con ngu?i tu?ng r?ng mình dã bi?t h?t m?i th? nhung th?c ch?t là không ph?i nhu v?y.
 Hi?n trên m?t trang m?ng xã h?i dang xôn xao câu chuy?n m?t ngu?i ph? n? vô tình nh?t du?c m?t qu? tr?ng màu nâu kì l?. Theo nh?ng gì mà cu dân m?ng tìm hi?u du?c, khi ngu?i ph? n? này dang ? ngoài vu?n và vô tình nhìn th?y m?t v?t th? có hình gi?ng qu? tr?ng nhung kích thu?c thì to hon. Hon n?a màu s?c c?a “qu? tr?ng” kì l? này cung vô cùng d?c bi?t. Ban d?u ngu?i ph? n? tu?ng mình nh?t du?c tr?ng c?a m?t loài d?ng v?t d? tr?ng nào dó.
",tinvn.info,Ð?i s?ng 
"C? tu?ng dào du?c tr?ng kh?ng long, ngu?i dàn ông tách dôi m?i câm nín vì bên trong th?c ra là…","
 Không ai có th? ng? du?c r?ng bên trong nh?ng qu? tr?ng kh?ng long này l?i là th? kinh d? d?n v?y!
 M?t ngu?i nông dân Trung Qu?c khi lên r?ng tìm nh?ng cây thu?c quý dã vô tình dào d?t và phát hi?n ra m?t cái hang.
 Bên trong hang là nh?ng v?t th? hình tròn
 ",tinvn.info,Ð?i s?ng 
"Ðêm nào cung nghe l?c d?c du?i g?m giu?ng, s? hãi l?t t?m ph?n phát hi?n bí m?t kinh hoàng"," Th?y g?m giu?ng có nh?ng ti?ng l?c d?c kì l?, ngu?i dàn ông l?t t?m ph?n lên và nhìn th?y di?u kinh d?.
 Th?i gian g?n dây, c?ng d?ng m?ng xôn xao v? m?t vài b?c ?nh du?c m?t ngu?i dàn ông ch?p l?i. Nh?ng hình ?nh dó du?c ch?p t? trong chính ngôi nhà c?a ngu?i dàn ông này. T? lúc b?c ?nh này du?c dua lên, dã có r?t nhi?u lu?t bình lu?n.",tinvn.info,Ð?i s?ng 
"Th?y v? máu me n?m b?t d?ng trên sàn, tu?ng con gái “xu?ng tay” h? sát, lao vào phát hi?n s? th?t kinh hoàng"," M? c?a bu?c vào nhà, th?y v? d?u d?m dìa máu, n?m im b?t d?ng. Khi li?c nhìn sang bên c?nh ngu?i dàn ông câm nín khi trông th?y hung th? th?c s?.
 G?n dây, trên m?ng xã h?i xôn xao v? m?t b?c ?nh ch?p c?nh m?t ngu?i ph? n? l?n tu?i n?m b?t d?ng xung quanh d?u b? nh?ng ch?t l?ng màu d? bao quanh. Ngay khi xu?t hi?n trên m?ng xã h?i, b?c ?nh này dã t?o ra m?t làn sóng d? d?i. M?t s? cu dân m?ng cho r?ng ngu?i ph? n? này dã b? sát h?i vô cùng dã man.
 B?c ?nh dã gây xôn xao c?ng d?ng m?ng trong m?t th?i gian",tinvn.info,Ð?i s?ng 
R?ch d?u r?n m?c l?n nh?n dá dam là c?nh tu?ng kinh hoàng không ai mu?n ch?ng ki?n quá 5 giây," Nh?ng hình ?nh du?i dây tuy?t d?i không dành cho ngu?i y?u tim!
 M?t ngu?i dàn ông Thái Lan dã phát hi?n ra m?t con r?n có hình thù vô cùng k? d? trong khi leo núi dã ngo?i. Tho?t nhìn, d?u con r?n có v? nhu m?c r?t nhi?u “dá dam” che khu?t c? m?t và mi?ng c?a nó.",tinvn.info,Ð?i s?ng 
Tím m?t bóp b?ng tran kh?ng qu?n qu?i trên sàn “bom” ra th? kinh d? ám ?nh c? gia dình," M?t con tran có tên Samson, dã du?c phát hi?n trong tình tr?ng có nh?ng bi?u hi?n vô cùng kì l?. Ngay sau dó, các bác si dã nhanh chóng ki?m tra di?m b?t thu?ng n?i c?c lên t? b?ng khi?n nó dau d?n và nhu ng?t th?. Ði?u kinh ng?c là khi l?y v?t m?c k?t bên trong ch? vì nguyên nhân không ng?",tinvn.info,Ð?i s?ng 
"N?u th?y th? này thò lên ngoài vu?n nhà, d?ng ch?m vào mà hãy ch?y nhanh khi còn có th?"," Trên d?i này, có quá nhi?u câu chuy?n k? l? và nh?ng loài sinh v?t nhìn mu?n “thót tim” mà chúng ta chua h? bi?t d?n.
 Trên th? gi?i có muôn vàn loài d?ng th?c v?t có ngo?i hình k? l?, th?m chí là kinh d?. Tuy nhiên, dù t?ng nhìn qua nhi?u loài sinh v?t dáng s?, ch?c ch?n có ngu?i s? phát ho?ng khi th?y loài th?c v?t trông gi?ng nhu m?t bàn tay quái thai máu me bê b?t. Nhung d?ng v?i ho?ng s?, b?i th?c t? dây ch? là m?t loài n?m, có tên g?i là n?m ngón tay qu? (Clathrus archeri).",tinvn.info,Ð?i s?ng 
"V?a r?i giu?ng b?nh chua bao lâu, ai n?y ch?t ng?t khi b?t g?p Tr?n Son dang làm vi?c kinh d? này","Ngay trên xe bus, bên c?nh m?t cô gái tr?; d?i gia Tr?n Son không ng?i ng?n móc th? này ra kh?i qu?n.Ð?i gia Tr?n Son, hi?n dang sinh s?ng và làm vi?c t?i Ðài Loan (Trung Qu?c). Ngu?i v?n n?i ti?ng b?i khuôn m?t x?u xí nhung l?i có kh?i tài s?n l?n, siêu xe và thu?ng xuyên c?p kè v?i các hot girl chân dài miên man. ",tinvn.info,Ð?i s?ng 
"Khi?p s? v?i chi?c mui bi?n d?ng kinh d?, ngu?i dàn ông khi?n c? phòng ph?u thu?t ám ?nh khi v?a ch?m kéo là c?nh tu?ng…"," Sau nhi?u nam b? dè b?u vì chi?c mui “kh?ng” kinh d?, ngu?i dàn ông khi?n nhi?u ngu?i ph?i s?ng s?t sau khi ph?u thu?t xong.
 Tibor, 52 tu?i m?t ngu?i dàn ông Slovakia, v?i chi?c mui “kh?ng” có th? là to nh?t th? gi?i khi?n nhi?u ngu?i nhìn th?y không kh?i kinh hãi. Chi?c mui c?a ông bi?n d?ng và n?i to b?t thu?ng su?t nhi?u nam, làm cho cu?c s?ng, công vi?c g?p nhi?u khó khan.",tinvn.info,Ð?i s?ng 
"Vén qu?n th?y giun bò lúc nhúc trong b?p chân, t?i b?nh vi?n m?i ói m?a khi bi?t s? th?t bên trong"," C? ng? gân xanh n?i lên kh?p b?p chân, nhung không ng? th? dây dua dài ngo?ng d?c khoét bên trong m?i khi?n nhi?u ngu?i ng?t l?m khi bi?t du?c s? th?t.
 M?t ngu?i dàn ông 50, Trung Qu?c dang tr?i qua nh?ng tháng ngày vô cùng ?m d?m và ám ?nh, khi c? 2 chân c?a ông trong tình tr?ng d?c khoét bên trong vô cùng s? hãi. M?c dù l?p da ngoài chua có bi?t d?i, nhung nh?ng v?t s?n sùi, n?i c?c nhu n?m, bên trong dó l?i là noi kí sinh và làm “t?” c?a loài kí sinh trùng vô cung dáng s? này.
 Các tinh m?ch ? chân n?i c?c, không ph?i là gân n?a",tinvn.info,Ð?i s?ng 
"Ðêm nào cung th?y v? bi?n m?t, d?t camera ?n ch?ng phát hi?n hành d?ng quá kinh hoàng"," Hành d?ng kinh kh?ng này c?a ngu?i v? dã khi?n ông ch?ng ph?i c?m th?y ?n l?nh khi t?n m?t ch?ng ki?n qua camera.
 Camera là m?t trong nh?ng công c? giám sát thu?n l?i nh?t cho nhà c?a ho?c noi làm vi?c, noi s?n xu?t c?a b?n.
 M?t ông ch?ng dã cung dã th?c hi?n l?p camera trong can phòng ng? c?a mình v?a d? ti?n quan sát d?a con m?i sinh c?a mình, v?a nh?m m?c dích d? phòng n?u có k? tr?m xâm nh?p. M?c dù chua có tên tr?m nào l?n vào nhà, nhung ngu?i dàn ông này l?i du?c m?t phen r?n tóc gáy khi phát hi?n ra hành d?ng vô cùng dáng s? này c?a v? mình.
",tinvn.info,Ð?i s?ng 
"Thích d?ng háng check-in cho thoáng, thi?u n? khi?n b?n bè d?ng hình khi th?y th? kinh d? lòi ra"," Du?i dây là nh?ng hình ?nh hot nh?t du?c dân m?ng chia s? trong ngày qua, m?i các b?n cùng chúng tôi di?m l?i nhé!
 Không bi?t vô tình hay c? ý mà cô nàng l?i d? “di v?t” l? l? ? vùng nh?y c?m nhu th?, dúng là ai n?y cung ph?i mu?i m?t",tinvn.info,Ð?i s?ng 
"Nh?n xam “ch? kín” cho thi?u n?, tái m?t vì th?y di?u kinh d? khi?n anh th? mu?n h?c máu m?m"," Th? m?i nói, nh?ng chàng th? xam là nh?ng ngu?i “c?ng vía” d?n nhu?ng nào.
 C? tò mò mãi sao cô gái này n?ng n?c dòi vào ch? nào kín dáo m?i ch?u xam, thanh niên ch? bi?t nín l?ng mà h?c máu khi v?a vào phòng dã th?y c?nh tu?ng kinh d? là nàng h?n nhiên… l?t h?t d? ra r?i yêu c?u xam vào noi “nh?y c?m” d?n v?y.",tinvn.info,Ð?i s?ng 
"Nghi?n xam mình, thi?u n? khóc ng?t khi nhìn th?y cánh tay mình sau vài ngày di xóa","Nhìn nh?ng hình ?nh rùng mình này, có ai còn can d?m di xam mình n?a không?
 Xam mình th?i nay càng tr? nên ph? bi?n hon tru?c r?t nhi?u. Không ch? d? th? hi?n cá tính, nhi?u ngu?i còn tìm t?i nó nhu 1 cách d? luu gi? k? ni?m trên thân th?.",tinvn.info,Ð?i s?ng 
"M? già báo m?ng “nó an h?t r?i”, con cháu c?i m? sau 3 nam khóc ng?t khi th?y c?nh này"," C?i m? 3 nam cho m? già, dám con cháu khóc thét, b? ch?y g?n h?t khi quan tài v?a hé trên m?t d?t dã th?y ti?ng d?ng r?m r?m bên trong.",tinvn.info,Ð?i s?ng 
"H?n hò ngu?i thuong noi sân tru?ng, nam sinh khóc thét c?m dép b? ch?y khi th?y th? này lòi ra t? vòng 3 thi?u n?"," “Ngu?i ?y” chua k?p quay m?t l?i chàng trai dã ch?y xa c? cây s? ch? vì th? nh?y c?m ch?t ng?t l? ra sau l?p áo dài.
 Vô tu ng?i gi?a sân tru?ng, n? sinh không h? hay bi?t vòng 3 d?y d?n c?a mình dã “ph?n ch?”.",tinvn.info,Ð?i s?ng 
"Võ su 60 tu?i, tay không dánh b?i hàng tram giang h? Sài Gòn"," Võ su Sáu Tr? cùng 5 ngu?i con t? xung h?u d?t 3 dêm ròng ch?ng l?i hàng tram giang h? qu?n 4 dã tr? thành giai tho?i trong gi?i võ h?c Vi?t.
Võ su Sáu Tr? tên th?t là Ngô Van Tr?, sinh nam 1936, ngu?i g?c Sài Gòn. Ông sinh ra trong m?t gia dình b? th?, có truy?n th?ng v? võ h?c. Do yêu thích võ thu?t, nên t? nh? Sáu Tr? dã du?c cha mình cho di th? giáo r?t nhi?u cao th? ? các môn phái khác. Khi l?n lên, nghe danh th?y Chín Hóa (tên th?t là Bùi Van Hóa), sáng t? c?a môn phái Thi?u Lâm t? – N?i quy?n – Tây Son Nh?n t?i Vi?t Nam ki?n th?c võ h?c hon ngu?i, là m?t trong ba ngu?i n?i danh dánh h? nên ông dã tìm d?n t?m su h?c võ.",tinvn.info,Ð?i s?ng 
B?n r?n chân tay khi l? ch?m tay vào hàng tri?u chi?c rang m?c chi chít trên da th?t ngu?i dàn ông,"Ch? c?n nhìn nh?ng hình ?nh này thôi, ngu?i can d?m nh?t cung ph?i khi?p vía vì d? kinh d? và dáng s? c?a nó. Nói tru?c r?ng nh?ng ai s? l?, s? ch?m li ti thì d?ng xem k?o không dám ch?m vào b?t c? th? gì.",tinvn.info,Ð?i s?ng 
